wn_synset	babelnet_id	pos	lemmata en	lemmata fr	definition	confidence	dist_from_music	dist_from_entity
n11216386	bn:00016097n	n	Orff, Carl_Orff	carl_orff, karl_orff, orff	German musician who developed a widely used system for teaching music to children (1895-1982)	0.335	11	7
n11005320	bn:00016108n	n	Goldoni, Carlo_Goldoni	carlo_goldoni, goldoni	prolific Italian dramatist (1707-1793)	0.142	11	7
n10894365	bn:00016110n	n	Chavez, Carlos_Chavez	carlos_chavez, carlos_chávez	Mexican composer of nationalistic works using themes from Indian folk music (1899-1978)	0.468	12	8
n10885487	bn:00016352n	n	Caruso, Enrico_Caruso	caruso, enrico_caruso	outstanding Italian operatic tenor (1873-1921)	0.445	13	9
n02869249	bn:00012018n	n	bones, castanets, clappers, finger_cymbals	castagnettes, castagnette	a percussion instrument consisting of a pair of hollow pieces of wood or bone (usually held between the thumb and fingers) that are made to click together (as by Spanish dancers) in rhythm with the dance	0.134	13	9
n09899534	bn:00016586n	n	castrato	castrats, castras, castrat	a male singer who was castrated before puberty and retains a soprano or alto voice	0.351	12	8
n02990758	bn:00017003n	n	celesta	celesta, célesta	a musical instrument consisting of graduated steel plates that are struck by hammers activated by a keyboard	0.696	13	9
n10978693	bn:00017402n	n	Franck, Cesar_Franck	césar_franck	French composer and teacher who influenced a generation of composers (1822-1890)	0.468	12	8
n04186624	bn:00070944n	n	shawm	chalemie, chalémie	a medieval oboe	0.438	17	13
n03006626	bn:00017700n	n	chanter, melody_pipe	chalumeau, chanterelle, chanter	reed pipe with finger holes on which the melody is played	0.786	14	10
n03691817	bn:00052106n	n	lounge, waiting_room, waiting_area	chambre_d'attente, file_d'attente, file, queue, salle_d'attente, salle_des_pas_perdus, files_d’attente	a room (as in a hotel or airport) with seating where people can wait	0.341	12	8
n07026239	bn:00017585n	n	chamber_music	chambriste, musique_de_chambre	serious music performed by a small group of musicians	0.797	3	6
n05125377	bn:00003268n	n	scope, range, reach, orbit, compass, ambit	champ, gamme, tessiture, zone, portée	an area in which something acts or operates or has power or control: "the range of a supersonic jet"	0.681	8	6
n07360211	bn:00069958n	n	sea_change	changement_en_profondeur	a profound transformation	0.0	9	7
n07048000	bn:00072794n	n	song, vocal	chanson, chant	a short musical composition with words	0.525	2	6
n07050827	bn:00028757n	n	drinking_song	chanson_a_boire, chanson_à_boire	a song celebrating the joys of drinking; sung at drinking parties	0.595	3	7
n07052799	bn:00060833n	n	partsong	chanson_à_parties	a song with two or more voice parts	0.682	3	7
n07051728	bn:00052128n	n	love_song, love-song	chanson_d'amour, lovesong	a song about love or expressing love for another person	0.429	3	7
n07050042	bn:00017701n	n	chantey, chanty, sea_chantey, shanty	chanson_de_marins, chanson_de_marin, chansons_de_marins, chansons_de_marin, chant_de_marins, chant_de_marin, chants_de_marins, chants_de_marin, vents_et_marées	a rhythmical work song originally sung by sailors	0.402	4	8
n07024929	bn:00021565n	n	polyphony, polyphonic_music, concerted_music	chanson_polyphonique, musique_polyphonique, polyphonique, polyphonie	music arranged in parts for several voices or instruments	0.608	1	5
n07034634	bn:00017699n	n	chant	chant	a repetitive song in which as many syllables as necessary are assigned to a single tone	0.266	4	7
n08188638	bn:00018665n	n	choir	chant_choral, chorale, ensemble_vocal, chœur	a chorus that sings as part of a religious ceremony	0.637	9	7
n07053993	bn:00081583n	n	work_song	chant_de_travail, work-song, work_song	a usually rhythmical song to accompany repetitious work	0.475	3	7
n07033433	bn:00041253n	n	gradual	chant_d'offertoire, graduale_romanum, graduale, graduel	(Roman Catholic Church) an antiphon (usually from the Book of Psalms) immediately after the epistle at Mass	0.194	4	7
n07035153	bn:00041748n	n	plainsong, plainchant, Gregorian_chant	chant_gregorien, modulatio_romana, plain-chant, plain_chant, grégorien, chant_grégorien, chants_grégoriens	a liturgical chant of the Roman Catholic Church	0.244	5	8
n07024705	bn:00055709n	n	monophony, monophonic_music, monody	chant_monodique, monodie, musique_monodique	music consisting of a single vocal part (usually with accompaniment)	0.575	1	5
v01731718	bn:00089556v	v	hymn	chanter_un_hymne	sing a hymn	0.667	99	99
n10624310	bn:00072803n	n	songster	chanteur	a person who sings	0.75	12	8
n10599806	bn:00071731n	n	singer, vocalist, vocalizer, vocaliser	chanteur, chantre, vocaliste	a person who sings	0.586	11	7
n00545501	bn:00071734n	n	singing, vocalizing	chanteur, chants, chant, voix_chantée	the act of singing vocal music	0.573	10	8
n09980090	bn:00008157n	n	crooner, balladeer	chanteur_de_charme, crooner, crouneur	a singer of popular ballads	0.772	12	8
n10849083	bn:00010068n	n	Berry, Chuck_Berry, Charles_Edward_Berry	charles_edward_anderson_berry, chuck_berry	United States rock singer (born in 1931)	0.601	13	9
n11075670	bn:00017847n	n	Ives, Charles_Edward_Ives	charles_edward_ives, charles_ives	United States composer noted for his innovative use of polytonality (1874-1954)	0.485	12	8
n11009635	bn:00017852n	n	Gounod, Charles_Francois_Gounod	charles_gounod, gounod, charles-françois_gounod, charles_françois_gounod	French composer best remembered for his operas (1818-1893)	0.391	12	8
n11222914	bn:00010640n	n	Parker, Charlie_Parker, Yardbird_Parker, Bird_Parker, Charles_Christopher_Parker	charlie_parker, lady_bird, the_bird, yardbird, zoizeau	United States saxophonist and leader of the bop style of jazz (1920-1955)	0.607	12	8
n07294423	bn:00020910n	n	deserts, comeuppance, comeupance	châtiment	an outcome (good or bad) that is well deserved	0.333	10	8
n10894905	bn:00018191n	n	Cherubini, Luigi_Cherubini, Maria_Luigi_Carlo_Zenobio_Cherubini	cherubini, luigi_cherubini, maria_luigi_carlo_zenobio_salvatore_cherubini, marie-louis-charles-zénobi-salvador_cherubini	Italian composer of church music and operas (1760-1842)	0.481	12	8
n06864524	bn:00056473n	n	time_signature, musical_time_signature	chiffrage_de_mesure, signature_de_mesure	a musical notation indicating the number of beats to a measure and kind of note that takes a beat	0.829	7	7
n02795978	bn:00008699n	n	barrel_organ, grind_organ, hand_organ, hurdy_gurdy, hurdy-gurdy, street_organ	chifournie, orgue_de_barbarie, vielle_a_roue, vièle_à_roue, vielle_à_roue	a musical instrument that makes music by rotation of a cylinder studded with pegs	0.343	12	8
n08187988	bn:00018785n	n	chorus, Greek_chorus	chœur	a company of actors who comment (by speaking or singing in unison) on the action in a classical Greek play	0.182	8	6
n09920771	bn:00018772n	n	chorister	chœureur, chœureuse	a singer in a choir	0.637	12	8
n08187837	bn:00018782n	n	chorus	chorale, chœur	a group of people assembled to sing together	0.056	8	6
n11299030	bn:00027958n	n	Shostakovich, Dmitri_Shostakovich, Dmitri_Dmitrievich_Shostakovich	chostakovitch, dimitri_chostakovitch, dmitri_chostakovitch, dmitri_shostakovich, shostakovich, shostakovitch	Russian composer best known for his fifteen symphonies (1906-1975)	0.449	12	8
n11002548	bn:00018856n	n	Gluck, Christoph_Willibald_von_Gluck	christoph_willibald_gluck, gluck, christoph_willibald_ritter_von_gluck	German composer of more than 100 operas (1714-1787)	0.418	12	8
n06861196	bn:00018867n	n	chromatic_scale	chromatisme, echelle_chromatique, gamme_chromatique, échelle_chromatique	a 12-note scale including all the semitones of the octave	0.669	8	8
n07392783	bn:00068649n	n	rustle, rustling, whisper, whispering	chuchotement	a light noise, like the noise of silk clothing or leaves blowing in the wind	0.2	9	7
n03035832	bn:00019280n	n	cittern, cithern, cither, citole, gittern	cister, cistre, cithare, citole, cittern, guiterne, zister	a 16th century musical instrument resembling a guitar with a pear-shaped soundbox and wire strings	0.321	14	10
n11334773	bn:00025104n	n	Te_Kanawa, Dame_Kiri_Te_Kanawa, Dame_Kiri_Janette_Te_Kanawa	claire_mary_teresa_rawstron, dame_kiri_te_kanawa, kiri_te_kanawa	New Zealand operatic soprano (born in 1944)	0.585	13	9
n09878179	bn:00013716n	n	bugler	clairon	someone who plays a bugle	0.333	12	8
n07385660	bn:00013385n	n	hubbub, uproar, brouhaha, katzenjammer	clameur	loud confused noise from many sources	1.0	9	7
n07380473	bn:00019594n	n	clatter	claquement, craquement	a rattling noise (often produced by rapid movement)	0.75	9	7
n11287186	bn:00019443n	n	Schumann, Clara_Josephine_Schumann	clara_josephine_wieck, clara_schumann, clara_wieck	German pianist and composer of piano music; renowned for her interpretation of music, especially the music of her husband Robert Schumann (1819-1896)	0.493	12	8
n02803539	bn:00008919n	n	bass_clarinet	clarinette_basse	a large clarinet whose range is an octave below the B-flat clarinet	0.804	17	13
n09926246	bn:00019457n	n	clarinetist, clarinettist	clarinettiste	a musician who plays the clarinet	1.0	11	7
n11187364	bn:00019600n	n	Monteverdi, Claudio_Monteverdi	claudio_monteverdi	Italian composer (1567-1643)	0.398	12	8
n10161047	bn:00043054n	n	harpsichordist	claveciniste	someone who plays the harpsichord	0.632	11	7
n03038870	bn:00019611n	n	clavichord	clavicorde, manichordion, manicordion	an early stringed instrument like a piano but with more delicate sound	0.476	13	9
n03614532	bn:00049008n	n	keyboard_instrument	clavier, instrument_à_clavier	a musical instrument that is played by means of a keyboard	0.672	12	8
n10229883	bn:00049009n	n	keyboardist	clavieriste, claviériste	a musician who plays a keyboard instrument	0.903	11	7
n06862954	bn:00008920n	n	bass_clef, F_clef	clef_de_fa, clé_de_fa	a clef that puts the F below middle C on the fourth line of a staff	0.713	8	8
n06862805	bn:00036968n	n	treble_clef, treble_staff, G_clef	clef_de_sol, clé_de_sol	a clef that puts the G above middle C on the second line of a staff	0.713	8	8
n06862562	bn:00019683n	n	clef	clef_d'ut, clef_de_do, clef_de_fa_4e, clef_de_fa, clef_de_sol, clef, clé, clé_d'ut, clé_de_do, clé_de_fa, clé_de_sol, clé_de_fa_4e	a musical notation written on a staff indicating the pitch of the notes following it	0.717	7	7
n10539715	bn:00013851n	n	rotter, dirty_dog, rat, skunk, stinker, stinkpot, bum, puke, crumb, lowlife, scum_bag, so-and-so, git	clochard, pueur	a person who is deemed to be despicable or contemptible	0.0	10	6
n07039478	bn:00020348n	n	finale, coda	coda, finale, final	the closing section of a musical composition	0.784	3	7
n11243268	bn:00020570n	n	Porter, Cole_Porter, Cole_Albert_Porter	cole_albert_porter, cole_porter	United States composer and lyricist of musical comedies (1891-1946)	0.371	12	8
n11035017	bn:00020571n	n	Hawkins, Coleman_Hawkins	coleman_hawkins, coleman_randolph_hawkins	United States jazz saxophonist (1904-1969)	0.748	12	8
n03067912	bn:00020593n	n	collage, montage	collagisme, collagistes, collagiste, collage, montage	a paste-up made by sticking together pieces of paper or photographs to form an artistic image	0.145	12	8
n07239327	bn:00020684n	n	colloquium	colloque	an address to an academic meeting or seminar	0.0	9	7
n00051077	bn:00020898n	n	comeback	come-back, rentrée	return by a celebrity to some previously successful activity	0.152	11	9
n09947232	bn:00021397n	n	composer	compositeur_de_musique, compositeur, compositrice	someone who composes music as a profession	0.789	11	7
n07037465	bn:00021408n	n	musical_composition, opus, composition, piece, piece_of_music	composition_musicale, composition, pièce, œuvre	a musical work that has been created	0.596	1	5
n02775483	bn:00007953n	n	bagpipe	comuse, cornemuse	a tubular wind instrument; the player blows air into a bag and squeezes it out through the drone	0.289	14	10
n00271155	bn:00040447n	n	gig	concert	a booking for musicians	0.682	11	9
n03086670	bn:00021567n	n	concertina	concertina, accordéon	free-reed instrument played like an accordion by pushing its ends together to force air through the reeds	0.496	14	10
n07043275	bn:00021568n	n	concerto	concerto	a composition for orchestra and a soloist	0.93	3	6
n07043389	bn:00021569n	n	concerto_grosso	concerto_grosso	a baroque composition for orchestra and a group of solo instruments	0.812	4	7
n06892775	bn:00021559n	n	concert	concerts, concert, représentation	a performance of music by players or singers not involving theatrical staging	0.489	9	7
n08432149	bn:00021798n	n	conga_line	conga	a line of people in single file performing the conga dance	0.596	8	6
n07055295	bn:00021796n	n	conga	congacero, congas, conga, tumbadora	music composed for dancing the conga	0.752	2	6
n09815188	bn:00006506n	n	asshole, bastard, cocksucker, dickhead, shit, mother_fucker, motherfucker, prick, whoreson, son_of_a_bitch, SOB	connard, con	insulting terms of address for people who are stupid or irritating or ridiculous	0.231	10	6
n07492655	bn:00022000n	n	consolation, solace, solacement	consolation, réconfort	the comfort you feel when consoled in times of disappointment	0.01	9	7
n08188814	bn:00018666n	n	choir, consort	consort	a family of similar musical instrument playing together	0.779	7	5
n11115131	bn:00022034n	n	Lambert, Constant_Lambert, Leonard_Constant_Lambert	constant_lambert	English composer and conductor (1905-1951)	0.487	12	8
n05868954	bn:00021394n	n	component, constituent, element, factor, ingredient	constituant, élément, ingrédient	an abstract part of something	0.699	10	8
n06872905	bn:00003146n	n	contralto, alto	contralto	the lowest female singing voice	1.0	5	5
n07025419	bn:00023212n	n	counterpoint	contrapuntique, contrepoint_rigoureux, contrepoint	a musical form involving the simultaneous sound of two or more melodies	0.729	2	6
n02803934	bn:00008922n	n	bass_fiddle, bass_viol, bull_fiddle, double_bass, contrabass, string_bass	contrebasse	largest and lowest member of the violin family	0.69	13	9
n03096439	bn:00022224n	n	contrabassoon, contrafagotto, double_bassoon	contrebasson	the bassoon that is the largest instrument in the oboe family	0.765	17	13
n07063413	bn:00022428n	n	cool_jazz	cool_jazz, jazz_cool	jazz that is restrained and fluid and marked by intricate harmonic structures often lagging slightly behind the beat	0.784	4	7
n03288742	bn:00022546n	n	English_horn, cor_anglais	cor_anglais, cor_anglet, cors_anglais, english_horn, cor_anglé	a double-reed woodwind instrument similar to an oboe but lower in pitch	0.806	16	12
n02803809	bn:00008931n	n	basset_horn	cor_de_basset	a tenor clarinet; pitched in the key of F below the B-flat clarinet	0.729	17	13
n08217302	bn:00074692n	n	string_section, strings	cordes	the section of an orchestra that plays stringed instruments	0.389	9	7
n10435041	bn:00007954n	n	piper, bagpiper	cornemuseur, cornemuseux, joueur_de_cornemuse, joueur_de_pipeau, joueuse_de_pipeau	someone who plays the bagpipe	0.8	11	7
n07060440	bn:00014397n	n	country_music, country_and_western, C_and_W	country_&_western, country_rock, country, musique_country	a simple style of folk music heard mostly in the southern United States; usually played on stringed instruments	0.76	4	7
